timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-03-17 10:00:00,83664.31,83687.17,83260.04,83344.34,424.06115,1742209199999,35376077.6475554,78416,149.36999,12460861.1251399,0
2025-03-17 11:00:00,83344.34,83699.0,83220.11,83514.73,417.30684,1742212799999,34857413.9281853,76722,237.42328,19836294.6741417,0
2025-03-17 12:00:00,83514.73,84000.0,83002.01,83052.0,1602.93914,1742216399999,133695608.4271802,261354,788.64201,65797154.2079109,0
2025-03-17 13:00:00,83052.01,83735.84,82808.52,83023.38,1353.72595,1742219999999,112670530.998073,269671,691.35114,57554820.6976189,0
2025-03-17 14:00:00,83023.37,83358.5,82456.0,82913.03,1546.82937,1742223599999,128144324.3444336,297571,746.7713,61876218.1963445,0
2025-03-17 15:00:00,82913.03,83701.71,82706.58,83531.06,969.57355,1742227199999,80783620.0585078,197632,548.7098,45705797.209012,0
2025-03-17 16:00:00,83531.07,83878.9,83103.6,83448.86,972.11069,1742230799999,81194703.2005431,170634,485.64669,40579662.3311106,0
2025-03-17 17:00:00,83448.86,84336.89,83358.49,84197.46,1045.92714,1742234399999,87882504.1375897,173669,559.53621,47019506.2330822,0
2025-03-17 18:00:00,84197.46,84585.0,83983.74,84496.58,1090.21429,1742237999999,91925361.9792656,143428,464.23427,39163721.4642511,0
2025-03-17 19:00:00,84496.57,84756.83,84311.07,84482.55,725.81983,1742241599999,61326826.7708869,132216,296.31488,25041018.9962014,0
2025-03-17 20:00:00,84482.55,84506.8,83846.15,83954.36,506.33404,1742245199999,42585133.3909063,102938,199.31045,16759461.5870247,0
2025-03-17 21:00:00,83954.36,84251.86,83883.87,84077.8,377.45641,1742248799999,31722236.7958,72431,204.33688,17174267.440088,0
2025-03-17 22:00:00,84077.8,84249.99,84000.02,84061.19,218.83761,1742252399999,18410961.3946226,45568,96.60268,8126694.7305236,0
2025-03-17 23:00:00,84061.19,84140.98,83746.12,84010.03,323.71739,1742255999999,27182491.321944,59906,139.91894,11750415.4698476,0
2025-03-18 00:00:00,84010.02,84021.74,83702.53,83790.24,280.13543,1742259599999,23485018.4998483,66582,116.65055,9780752.0903276,0
2025-03-18 01:00:00,83790.24,83915.98,83015.39,83161.97,903.36529,1742263199999,75244032.4849662,128235,355.17839,29585414.5872141,0
2025-03-18 02:00:00,83161.98,83532.61,83081.67,83367.64,445.46915,1742266799999,37134346.88313,102311,257.68618,21481566.6283496,0
2025-03-18 03:00:00,83367.65,83367.65,82960.0,83147.6,598.19056,1742270399999,49728331.5279582,96388,248.03144,20617158.9877802,0
2025-03-18 04:00:00,83147.6,83205.77,82838.8,82989.11,621.0049,1742273999999,51591549.3009828,83188,278.20693,23112298.0597809,0
2025-03-18 05:00:00,82989.11,83128.1,82895.57,83010.87,743.9242,1742277599999,61747207.5952635,66368,227.61232,18894788.0744209,0
2025-03-18 06:00:00,83010.86,83019.4,82244.68,82450.01,1234.9382,1742281199999,101943950.611834,132856,445.55922,36776013.4574584,0
2025-03-18 07:00:00,82450.02,83280.0,82358.69,83163.81,1191.95624,1742284799999,98912592.8254272,183004,660.63826,54812983.4869364,0
2025-03-18 08:00:00,83163.81,83452.3,83048.71,83281.29,526.74962,1742288399999,43860944.0702911,91244,249.36594,20766068.8824357,0
2025-03-18 09:00:00,83281.29,83300.0,83228.28,83267.36,27.68041,1742291999999,2304778.5038787,8211,11.44735,953115.0415026,0
