timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-12-18,3.71e-06,3.75e-06,3.48e-06,3.57e-06,115365563.0,1734566399999,418.34160589,38104,54300382.0,196.92152721,0
2024-12-19,3.57e-06,3.6e-06,3.11e-06,3.22e-06,226408183.0,1734652799999,753.85834266,65813,107307898.0,356.98307018,0
2024-12-20,3.22e-06,3.38e-06,2.82e-06,3.25e-06,430727077.0,1734739199999,1332.38882282,82953,216971138.0,672.7752439,0
2024-12-21,3.25e-06,3.54e-06,3.23e-06,3.29e-06,164617660.0,1734825599999,556.37028429,43579,84323183.0,285.12499222,0
2024-12-22,3.29e-06,3.35e-06,3.18e-06,3.28e-06,83512460.0,1734911999999,273.2635206,33417,34668324.0,113.59964617,0
2024-12-23,3.28e-06,3.49e-06,3.22e-06,3.43e-06,99075544.0,1734998399999,330.05446493,31446,49451063.0,165.10402956,0
2024-12-24,3.42e-06,3.49e-06,3.36e-06,3.42e-06,43133557.0,1735084799999,147.24774192,17185,20163477.0,68.85284762,0
2024-12-25,3.41e-06,3.45e-06,3.32e-06,3.36e-06,34136242.0,1735171199999,115.60317057,14485,16870793.0,57.18580289,0
2024-12-26,3.36e-06,3.39e-06,3.24e-06,3.26e-06,34937141.0,1735257599999,115.34996025,15488,12208801.0,40.41197707,0
2024-12-27,3.27e-06,3.35e-06,3.24e-06,3.31e-06,31300747.0,1735343999999,103.42966599,11755,14043291.0,46.38784005,0
2024-12-28,3.31e-06,3.43e-06,3.3e-06,3.4e-06,28583413.0,1735430399999,96.11991883,9877,15242403.0,51.28827328,0
2024-12-29,3.4e-06,3.46e-06,3.34e-06,3.36e-06,28858229.0,1735516799999,98.12591183,8959,10844092.0,36.96221473,0
2024-12-30,3.35e-06,3.44e-06,3.34e-06,3.38e-06,39486100.0,1735603199999,133.93823106,14601,19138137.0,64.93019625,0
2024-12-31,3.38e-06,3.44e-06,3.35e-06,3.38e-06,32327786.0,1735689599999,109.56748859,13354,19125779.0,64.82749959,0
2025-01-01,3.38e-06,3.45e-06,3.35e-06,3.43e-06,25522384.0,1735775999999,86.98072769,8690,13750248.0,46.88526669,0
2025-01-02,3.44e-06,3.57e-06,3.43e-06,3.49e-06,44302831.0,1735862399999,155.35074267,15601,25822380.0,90.64465117,0
2025-01-03,3.5e-06,3.96e-06,3.47e-06,3.87e-06,89479097.0,1735948799999,335.13437601,34229,47715186.0,178.51514018,0
2025-01-04,3.87e-06,4.05e-06,3.86e-06,4.02e-06,76089415.0,1736035199999,300.75199472,36297,40175195.0,158.83538737,0
2025-01-05,4.02e-06,4.05e-06,3.85e-06,3.89e-06,36944354.0,1736121599999,145.18726419,15086,15386418.0,60.381165,0
2025-01-06,3.89e-06,3.94e-06,3.78e-06,3.79e-06,28506090.0,1736207999999,109.97001269,15357,11597873.0,44.79095349,0
2025-01-07,3.8e-06,3.91e-06,3.59e-06,3.59e-06,90996509.0,1736294399999,339.41585491,38955,41018926.0,153.37493788,0
2025-01-08,3.59e-06,3.69e-06,3.5e-06,3.6e-06,80453467.0,1736380799999,289.74973099,33827,41269439.0,149.2297327,0
2025-01-09,3.6e-06,3.64e-06,3.43e-06,3.47e-06,54154299.0,1736467199999,190.39557163,24159,23492355.0,82.62605473,0
2025-01-10,3.47e-06,3.58e-06,3.46e-06,3.52e-06,39455060.0,1736553599999,138.56225812,17021,21343851.0,74.93386712,0
2025-01-11,3.53e-06,3.67e-06,3.51e-06,3.6e-06,23844698.0,1736639999999,85.4601078,11416,12150589.0,43.4826747,0
2025-01-12,3.6e-06,3.63e-06,3.53e-06,3.55e-06,14581873.0,1736726399999,52.23717288,9748,7937144.0,28.45547459,0
2025-01-13,3.55e-06,3.61e-06,3.45e-06,3.58e-06,57885915.0,1736812799999,203.74123671,23453,29000023.0,102.07338913,0
2025-01-14,3.58e-06,3.74e-06,3.55e-06,3.68e-06,50499728.0,1736899199999,184.17162791,18951,31781398.0,116.01195737,0
2025-01-15,3.69e-06,3.87e-06,3.61e-06,3.83e-06,63594224.0,1736985599999,238.00156731,27785,35565905.0,133.4774408,0
2025-01-16,3.83e-06,3.91e-06,3.72e-06,3.77e-06,60999875.0,1737071999999,232.53111375,30936,29149507.0,111.19809819,0
2025-01-17,3.76e-06,4.1e-06,3.75e-06,3.99e-06,98964168.0,1737158399999,393.10729573,44329,52485417.0,208.72988503,0
2025-01-18,3.99e-06,4.16e-06,3.72e-06,3.79e-06,184265793.0,1737244799999,716.00964844,66531,88390169.0,344.21409202,0
2025-01-19,3.79e-06,3.91e-06,3.43e-06,3.53e-06,219136926.0,1737331199999,796.02624384,89342,107935066.0,392.29727099,0
2025-01-20,3.53e-06,3.65e-06,3.41e-06,3.47e-06,186986773.0,1737417599999,655.08233158,71383,89938285.0,315.66910513,0
2025-01-21,3.47e-06,3.87e-06,3.29e-06,3.51e-06,313785679.0,1737503999999,1130.83186981,101461,163184950.0,589.80139091,0
2025-01-22,3.5e-06,3.57e-06,3.42e-06,3.5e-06,59397237.0,1737590399999,206.94302317,26089,28439397.0,99.18303824,0
2025-01-23,3.5e-06,3.52e-06,3.3e-06,3.39e-06,78940038.0,1737676799999,268.00134481,27869,33718251.0,114.45375062,0
2025-01-24,3.39e-06,3.46e-06,3.33e-06,3.35e-06,34273979.0,1737763199999,116.11776393,15367,17700534.0,60.04372717,0
2025-01-25,3.34e-06,3.45e-06,3.3e-06,3.37e-06,34306490.0,1737849599999,116.06546591,11191,17092403.0,57.89916912,0
2025-01-26,3.37e-06,3.4e-06,3.26e-06,3.27e-06,29940698.0,1737935999999,99.64526092,8692,13115726.0,43.56481471,0
